"","V1","Abstract","Unnamed..0","Authors","Quantitative.Data","Theoretical.Model","Empirical.Model","COMMENT..we.also.need.a.column.indicating.if.degrowth.is.used.as.ex.ante.strategy..as.result..low.negative.growth.as.in.Japan..or.otherwise.confusingly.","Volume","Issue"
"4","4","For spatial practices such as architecture, urban design and planning, degrowth remains an abstract concept, as there is no clear alignment of its principles into spatial strategies. To bridge this gap, this paper examines how degrowth can be operationalised into sustainable spatial practices. Through a review of more than 200 sustainable spatial projects across the world operating at the building, neighbourhood and citywide scales, the paper shows that while the majority of sustainable interventions representative of dominant architecture and urban design culture do not align to degrowth principles, a significant number of examples using sustainability strategies such as convivial technologies, building retrofitting, urban renaturation and revitalisation, eco-urbanisation and spatial infrastructure upgrading are in fact aligned to degrowth principles. We suggest that these examples form a potential stepping-stone to enable an urban design and building culture rooted in a degrowth agenda, however further research and conceptualisation are needed to enable this to happen. ",4,"De Castro Mazarro A., George Kaliaden R., Wende W., Egermann M.",1,0,0,"Review of empirical studies","",""
"10","10","The Sustainable Development Goals (SDGs) merge the three dimensions of sustainable development: environmental, social and economic. This chapter focuses on the specific goal of economic growth and the controversy surrounding it. It explores the SDGs of interest: economic growth, inequality, environmental footprints and poverty. In fact, it frames the decrease in inequality in terms of different growth rates rather than explicit redistribution of income and wealth. The inequality targets seem to be aligned with the economic growth ones but diametrically opposed to any degrowth notion. In fact, reaching the Paris Goals is nearly impossible under high economic growth and past trends of decoupling rates. We have shown this by developing a simple model of economic growth and Kaya decomposition. The growth vs. degrowth debate might welcome the âagrowthâ perspective because it does not view growth necessarily as good or bad and is more flexible in adopting to the development needs of individual countries.",10,"Malerba D., Oswald Y.",1,0,0,"model with empirical data plus additional graphs","",""
"13","13","Degrowth, i.e., a planned reduction in environmental impacts and economic scale, is increasingly discussed as a viable option for achieving sustainability. Yet, opponents counter that degrowth entails declines in economic standards, which will, in turn, reduce individual happiness and collective wellbeing. Our study explores the existing theoretical debate empirically, examining the case of Japan. There long-term decline in economic standards has not led to long-term decline in subjective wellbeing, thus bolstering the case for degrowth. ",13,"Komatsu H., Rappleye J., Uchida Y.",1,0,0,"Confusing Japan's low growth with degrowth, also data on growth seem inconsistent with Wikipedia data","144",""
"16","16","An emerging commons-oriented mode of production that combines globally accessible knowledge with distributed manufacturing has recently been presented as a better fit for sustainable degrowth and localisation, compared to incumbent practices. To tentatively test this potential we select the case of 3D printers. The production of 3D printers varies within a spectrum from proprietary and industrially produced to open-source and locally manufactured. We compare different 3D printers within this spectrum, adopting a values-based life cycle analysis tool that allows for a critical evaluation of the sustainability of 3D printers from a degrowth perspective. An emphasis on the prospects for sustainable localisation is given at each life cycle stage. We find significant advantages of open-source 3D printers in terms of education, experimentation and maintenance, and enhanced conviviality in case parts of their manufacturing is localised. Still, to a large extent their manufacturing process remains a highly centralised process, hindering additional benefits, and coherence with sustainable degrowth and localisation. We conclude with insights on how openness in terms of materials production and proper documentation of the manufacturing process, as well as a multi-level organisation for local production could lead to more sustainable practices. ",16,"Priavolou C., Troullaki K., Tsiouris N., Giotitsas C., Kostakis V.",1,0,0,"case study of 3D printers and analysis of interviews with manufacturers","376",""
"22","22","Growing evidence supports the need to re-evaluate the nature and function of our economies in favour of post-growth principles if we are to have a socially and environmentally viable future. This study contributes to the discussion on how to achieve such a future by addressing a remaining gap in the literature about the public acceptance of post-growth, since a viable transition requires public support to validate political actions. Taking a mixed-methods approach, we ask which values and socio-economic characteristics are associated with support for post-growth and why. On average among 34 European countries, 60.5 % of people are in favour of post-growth. Values such as environmentalism, collectivism and post-materialism were found to support post-growth visions of the future, but support for post-growth and these values is lower among disadvantaged people. We conclude that greater emphasis on redistribution and improving opportunities and livelihoods for disadvantaged people in a post-growth economy is key to making such a future more acceptable to them. However, this conflicts with policy preferences and values such as hierarchy, meritocracy, and individualism that tend to be more prominent among people who are well-off. ",22,"Paulson L., BÃ¼chs M.",1,0,0,"Data from the European Values Study - odd, as it is unclear that it talks about post-growth. Then they seemingly add own smi-structured interviews with 17 people (based on 82 completed responses to own questionnaire survey - a bit confusing). ","143",""
"32","32","If today the anthropogenic origin of climate change gathers almost total scientific consensus, human pro-environmental action is not changing with sufficient impact to keep global warming within the 1.5Â° limit. Environmental psychology has traditionally focused on the underlying barriers towards more pro-environmental behaviours. Emotionsâlike fear or angerâmay act as such barriers especially in case of radical change (e.g., degrowth). While minority influence has been extensively applied to understand societal change, it has rarely been applied to understand the emotional responses that may hinder counter-normative pro-environmental messages. However, past literature on emotions shows that, in challenging situationsâthe likes of radical minority conflictâpeople will tend to use their emotional reaction to maintain societal status quo. Two studies investigated how participants emotionally react towards a counter-normative pro-environmental minority message (advocating degrowth). A qualitative (thematic analyses) and a quantitative (emotional self-report paradigm) studies showed that participants report emotions that allow them to realign themselves with the cultural backdrop of the social dominant paradigm (growth), thus resisting change. Specifically, although all participants tend to demonstrate higher proportions of control-oriented emotions, men do so more. These effects, as well as questions of cultural and ideological dominance, are discussed considering barriers towards pro-environmentalism. ",32,"Avery R.A.T., Butera F.",1,0,0,"","13",""
"44","44","Green growth, a-growth, post-growth and degrowth are prominent concepts on the role of economic growth for achieving environmental sustainability. In this article, we investigate the attitudes of environmental protection specialists towards these concepts by conducting a survey with employees of the German Environment Agency (UBA). We develop three measures of attitudes towards the concepts: An implicit position based on responses to statements related to the debate on economic growth and the environment, a position choice based on choosing one concept without referring to its name and an explicit position based on choosing a concept with reference to its name. The analysis leads to four major results. (1) Environmental protection specialists predominantly express a preference for growth-critical concepts (a-growth/post-growth and degrowth) as compared to green growth. (2) A-growth/post-growth is the most favoured concept. (3) The results are stable for all three attitude-measures. (4) Specialists with more knowledge on the concepts are even more likely to prefer growth-critical concepts. Our results further support previous empirical findings that a large share of people and, in particular, specialists are in favour of growth-critical concepts, making policy-options towards such concepts more feasible.",44,"Lehmann C., Delbard O., Lange S.",1,0,0,"Finding: """"""""A-growth/post-growth is the most favoured concept""""""""","336",""
"65","66","This article builds on the concept of âdegrowthâ to create an experimental, measurable definition of âhousing degrowthâ, which can be applied to the 99% of households in mainstream housing. Like âdegrowthâ, housing degrowth runs against housing policy which has assumed that more housing is good. The article explores whether measurement of housing degrowth is possible with existing data, and whether any housing degrowth has occurred in the existing pro-growth housing system in England and Wales. Building on Kallis et al., âhousing degrowthâ is defined as a reduction of the total resources going into housing production and use, without an increase in inequality or a loss of wellbeing. First, using the total number of rooms as a proxy, over 1981â2011, England and Wales experienced significant increases in embodied CO2 (from housing construction, maintenance and disposal). Only a handful of areas experienced reductions, even in resources per person, and in these, inequality increased, and some had very little space per person for the worst-off, likely to harm wellbeing. Second, estimated data on direct CO2 production by homes in use 2008â18 showed a reduction, which was equitable between income and tenure groups. However, the poorest were hit hardest by rising energy costs, likely to have depressed wellbeing, again failing the degrowth definition. In conclusion, assessing broad trends in housing degrowth is possible, even with imperfect data. Future intentional degrowth appears possible, but will need more political justification, changes to incentives and regulation, and a focus on those worst-off. ",66,"Tunstall R.",1,0,0,"Bizarrre how they define degrowth, is just about material and energy efficiency","",""
"126","127","The COVID-19 pandemic simultaneously triggered a sudden, substantial increase in demand for items such as personal protection equipment and hospital ventilators whilst also disrupting the means of mass-production and international transport in established supply chains. Furthermore, under stay-at-home orders and with bricks-and-mortar retailers closed, consumers were also forced to adapt. Thus the pandemic offers a unique opportunity to study shifts in behaviour during disruption to industrialised manufacturing and economic contraction, in order to understand the role peer-to-peer production may play in a transition to long-term sustainability of production and consumption, or degrowth. Here, we analyse publicly-available datasets on internet search traffic and corporation financial returns to track the shifts in public interest and consumer behaviour over 2019 â 2020. We find a jump in interest in home-making and small-scale production at the beginning of the pandemic, as well as a substantial and sustained shift in consumer preference for peer-to-peer e-commerce platforms relative to more-established online vendors. In particular we present two case studies â the home-made facemasks supplied through Etsy, and the decentralised efforts of the 3D printer community â to assess the effectiveness of their responses to the pandemic. These patterns of behaviour are related to new modes of production in line with ecological economics and as such add capacity to a broader prefiguration of degrowth. We suggest an adoption of a new âfourth waveâ of DIY culture defined by enhanced resilience and degrowth to continue to add capacity to a prefigurative politic of degrowth. ",127,"Dartnell L.R., Kish K.",1,0,0,"Degrowth as emergence of do-it-yourself and P2P?","27",""
"147","149","Moving to a post-growth economic paradigm requires research to identify compelling ways to more effectively communicate the key ideas of this transition to the public. This study uses framing theory to examine the effects of four message frames about transitioning to an economic paradigm not centered on economic growth. The four message frames were: environmental gain, environmental loss, well-being gain and well-being loss. The environmental loss frame generated more negative emotions, while the well-being gain frame produced more agreement with the message and more positive emotional reactions. While this study did not find evidence that the frames influenced participant's attitudes, it did confirm that the messages elicited frame-consistent thoughts, pointing to the importance of being strategic and deliberate in the frames selected for communicating post-growth ideas to the public. This study also examined initial reactions towards different economic terms that are increasingly being used to describe this transition. We found that the green economy was perceived as favourably as economic growth, indicating public support towards macroeconomic models that embed sustainability objectives. The appeal of terms like sustainable degrowth were more nuanced and mixed than what is usually suggested in academic debates",149,"Tomaselli M.F., Kozak R., Gifford R., Sheppard S.R.J.",1,0,0,"","183",""
"155","157","Considering that the growth model that dominates across the world is unsustainable, an increasing trend of publications indicates that transformative social change toward a âdegrowthâ economy is necessary to tackle climate change. Defined as an alternative sustainable social-economic model aiming for a downscaling of production and consumption, degrowth has been widely analyzed and documented in social and environmental sciences. However, despite this increasing academic interest, degrowth maintains a rather negative public perception, and remains under-researched in psychology. In a series of four online studies (N = 2408), collected in the US and UK, one of which was pre-registered and tested on a representative sample, our research investigated whether support for this alternative sustainable social-economic model could be influenced by its name labelling (Rebirth vs. Degrowth) and its definition framing (Promotion vs. Prevention), using the Regulatory Focus Theory. The main findings indicate that support for social change toward a degrowth economy increased when its definition was framed in terms of achieving positive consequences (Promotion) rather than avoiding negative consequences (Prevention), regardless of its name labelling. Overall, this article introduces the concept of degrowth to environmental psychology and in doing so hopes to inspire more psychological scientists to research this transformative social-economic model. ",157,"Krpan D., Basso F.",1,0,0,"","74",""
"187","189","The former consensus on a link between energy consumption and improved well-being of a country has been scrutinized by scholars for decades and is, succinctly, for the time being a contested thesis. Until the 1970s the relation of energy to well-being was defined as linearly proportional, and in a later period still as an increasing logarithmic function. Recent empirical research falsified the assumption of an overt link between well-being and increased energy consumption in countries with high per-capita energy usage. Going forward, our research shows for the first time a possible proof for a negative correlation between energy consumption and well-being after a Well-being Turning Point (WTP). We used a world data set, not limited to high-income countries but including 176 nations with available data sets. Our findings could support both the logarithmic growth of well-being together with energy, as well as the contradicting saturation theses supporting degrowth, and thus opens the discussion in all directions. In this paper Energy Footprint data within Eora database and Global Multi Regional Input Output methodology have been calculated, which includes also the energy embodied in imported/exported products and services (also known as consumption-based energy accounts). The use of footprint accounts has been demonstrated in our previous research to be necessary when analysing global energy consumption trends; as it records the energy consumption reality better than the usually used Total Primary Energy Supply which is provided by the International Energy Agency. In this paper, we provide in a novel way, some statistical support for an Energy WTP, i.e. a high-energy threshold after which a further consumption increase results in a reduced Human Development Index. We tested our results for possible biases (e.g. excluding outlier countries and including a factor for considering the weight of high population countries) and concluded that a WTP is one possible interpretation of the data. Thus, we would like to open a discussion about how energy consumption could end up having a negative effect on well-being, considering its indirect impacts in citizens of a country. ",189,"Akizu-Gardoki O., Kunze C., Coxeter A., Bueno G., Wiedmann T., Lopez-Guede J.M.",1,0,0,"just data analysis, nt a model","59",""
"191","193","This paper deals with attitudes, values and ideologies as potentials in influencing cultural change toward more environmentally and socially sustainable socio-political system. The main framework of the discussion is the degrowth paradigm and the results of analyses are based on the two modules of the International Social Survey Program (2017). The main indicator of the (social) degrowth potentiality is the 'degrowth scale', consisting of dimensions related the end of economic growth and the need for social change. Those dimensions are (statistically) contextualised within respondents' socio-demographic characteristics, and their other values and attitudes, and discussed within the degrowth paradigm. ",193,"VukoviÄ M.B., AnÄiÄ B., Domazet M.",1,0,0,"","49","1"
"224","227","The world is facing with challenges that were hard to imagine a few decades ago. The last century was one in which the world experienced the enthusiasm of progress as a result of the implementation of methods proposed by neoclassical growth theory. The effects of climate change cause us to reflect, asking ourselves whether neoclassical growth has reached its limits. We answer to this question by analyzing, with the simple and multiple linear regression method, the relationship between economic growth, measured by GDP per capita, and greenhouse gas emissions, on the EU28, for the period 1980-2016 when UK was European member. We show that the European economic growth depends, overwhelmingly, on activities that produce negative spillovers in the form of emissions. The relationship between growth and total emissions, on the one hand, and between growth and emissions by categories, on the other, is positive and strong. The activities that produce natural gas emissions have the biggest influence on European economic growth followed by those from coal and coke and, by ones from petroleum and derivatives. We notice a great heterogeneity between the European states both of all EU28 members and within the four groups that we formed depending on GDP per capita growth. This conclusion shows that a common emission reduction policy in EU28 is not possible. The individual economic characteristics must be taken into account for the adoption and for the implementation of environmental and development policies. As a result of this study we will see to what extend Europe is in position to choose between continuing on the same path of progress or opting to apply the principles of degrowth economy. In the current crisis situation, the role of the public administration grows but the challenges will be greater than ever, the objective pursued in the future being not only economic growth but also the pollution reduction, even degrowth principles, in a very heterogeneous and sick Europe, where it is not possible to apply common environmental policy measures. ",227,"Haller A.",1,0,0,"very naive empirical approach!","2020","34"
"276","279","This paper investigates the introduction of unit-pricing (UP) schemes in waste management with regard to grassroots initiatives promoting bottom-up participatory processes in local communities, addressing several issues concerning environmental justice and degrowth. As waste service charges and fees increase in proportion of waste generated in presence of UP schemes, the paper explores and evaluates the socio-economic impact of these schemes at a local level, analysing data and information gathered from four municipalities in Spain. Findings indicate that UP schemes can provide a more balanced payment system for local residents, and help reducing free-rider behaviours associated with illegal and improper disposal practices. In addition, findings provide empirical evidence of the importance of grassroots initiatives in relation to increasing awareness regarding environmental issues among the public, and in view of facilitating change towards more sustainable practices within local communities. Conclusions gathered from this study offer valuable insights to local and national policymakers with regard to the design and delivery of UP schemes in waste management services. ",279,"Weber G., Cabras I., Calaf-Forn M., Puig-Ventosa I., D'Alisa G.",1,0,0,"mostly descriptive data","156",""
"317","321","Questioning the compatibility of economic growth and environmental sustainability, some scholars and activists call for a degrowth strategy. This idea presents an attack on the economic growth paradigm, and it has thus raised considerable attention. Yet, although many agree with questioning economic growth, a debate continues as to whether the term âdegrowthâ is (dis)advantageous in wider public communications. This debate, however, lacks empirical evidence. Here, we present two studies on how âdegrowthâ is perceived compared to other relevant terms. In Study 1, we show that âdegrowthâ elicits more negative affective and emotional reactions compared to âpost-growthâ and âprosperity without growth.â In Study 2, we find that the effects of labeling on attitudes and voting intentions toward a sustainable economy are relatively small. These initial results suggest that âdegrowthâ may evoke somewhat more negative emotional reactions than similar terms, but this may not have significant consequences. We discuss the results and draw implications for communication and further research. ",321,"Drews S., Reese G.",1,0,0," we present two studies on how âdegrowthâ is perceived compared to other relevant
terms","12","6"
"325","329","The call for âsustainable degrowthâ has recently turned into a focal point of critical social and ecological debate, as well as a framework for diverse strands of activism. So far, little is known about the motives, attitudes and practices of grassroots activists within the degrowth spectrum. This article presents results of a survey conducted at the 2014 International Degrowth Conference, revealing both the presence of a widely shared basic consensus among respondents and their broad division into five distinguishable sub-currents. A cluster analysis shows that degrowth provides a framework for a diversity of critical and transformational approaches. We identify and describe five such currents: eco-radical sufficiency-oriented critics of civilisation; moderate immanent reformers; a transitory group of voluntarist-pacifist idealists; the modernist rationalist Left; and the alternative practical Left. ",329,"Eversberg D., Schmelzer M.",1,0,0,"a survey conducted at the 2014 International Degrowth Conference BAD TITLE, WHY NOT SAY THIS IN THE TITLE; DID YOU ACCESS THE PAPER TO SEE WHAT DATA? I CANNOT ACCESS IT","27","3"
"419","423","In this paper I examine the extent to which economic growth and housing stock growth have been decoupled from negative environmental impacts over the latest two decades in the metropolitan areas of Hangzhou (China) and Copenhagen (Denmark). Research results show that housing stock growth and economic growth have been, at best, weakly decoupled from environment impacts, implying that the goal of sustainable housing development has not been fulfilled by the decoupling strategies. On the basis of this, constraints to decoupling strategies for housing sustainable development are discussed, which indicates a long-term incompatibility between housing stock growth and environmental sustainability. Arguably, sustainable housing development should be pursued by nongrowth in the housing stock in affluent countries in order to reduce the environmental impacts from housing consumption to a sustainable level. The visions for a nongrowth housing stock in both city regions are imagined in terms of potential risks and countermeasures. ",423,"Xue J.",1,0,0,"","33","3"
